id,附加费,币种,20底,40底,40HQ底,单票,付款方式
201033,TLX,CNY,,,,450.0,PREPAID
201033,DOC,CNY,,,,500.0,PREPAID
201033,SEAL,CNY,30,30,30,,PREPAID
201033,EIR,CNY,40,40,40,,PREPAID
201033,AFR,USD,30,30,30,,PREPAID
201033,LSS,USD,15,30,30,,PREPAID
201032,THC,CNY,646,997,997,,PREPAID
201032,TLX,CNY,,,,450.0,PREPAID
201032,DOC,CNY,,,,500.0,PREPAID
201032,SEAL,CNY,30,30,30,,PREPAID
201032,EIR,CNY,40,40,40,,PREPAID
76642,THC,CNY,646,997,997,,PREPAID
201032,AFR,USD,30,30,30,,PREPAID
76642,TLX,CNY,,,,450.0,PREPAID
76642,DOC,CNY,,,,500.0,PREPAID
201032,LSS,USD,15,30,30,,PREPAID
76642,SEAL,CNY,30,30,30,,PREPAID
76642,EIR,CNY,40,40,40,,PREPAID
76642,PTS,CNY,64,96,96,,PREPAID
201031,THC,CNY,646,997,997,,PREPAID
76642,AFR,USD,30,30,30,,PREPAID
201031,TLX,CNY,,,,450.0,PREPAID
76642,LSS,USD,15,30,30,,PREPAID
201031,DOC,CNY,,,,500.0,PREPAID
201031,SEAL,CNY,30,30,30,,PREPAID
76641,THC,CNY,646,997,997,,PREPAID
201031,EIR,CNY,40,40,40,,PREPAID
76641,TLX,CNY,,,,450.0,PREPAID
201031,PTS,CNY,64,96,96,,PREPAID
76641,DOC,CNY,,,,500.0,PREPAID
201031,AFR,USD,30,30,30,,PREPAID
76641,SEAL,CNY,30,30,30,,PREPAID
201031,LSS,USD,15,30,30,,PREPAID
76641,EIR,CNY,40,40,40,,PREPAID
76641,PTS,CNY,64,96,96,,PREPAID
76641,AFR,USD,30,30,30,,PREPAID
201030,THC,CNY,646,997,997,,PREPAID
76641,LSS,USD,15,30,30,,PREPAID
201030,TLX,CNY,,,,450.0,PREPAID
201030,DOC,CNY,,,,500.0,PREPAID
201030,SEAL,CNY,30,30,30,,PREPAID
76640,THC,CNY,646,997,997,,PREPAID
201030,EIR,CNY,40,40,40,,PREPAID
76640,TLX,CNY,,,,450.0,PREPAID
201030,PTS,CNY,330,467,467,,PREPAID
76640,DOC,CNY,,,,500.0,PREPAID
201030,AFR,USD,30,30,30,,PREPAID
201030,LSS,USD,15,30,30,,PREPAID
76640,SEAL,CNY,30,30,30,,PREPAID
76640,EIR,CNY,40,40,40,,PREPAID
76640,AFR,USD,30,30,30,,PREPAID
201029,THC,CNY,646,997,997,,PREPAID
76640,LSS,USD,15,30,30,,PREPAID
201029,TLX,CNY,,,,450.0,PREPAID
201029,DOC,CNY,,,,500.0,PREPAID
201029,SEAL,CNY,30,30,30,,PREPAID
85484,EIR,CNY,20,20,20,,PREPAID
201029,EIR,CNY,40,40,40,,PREPAID
85484,SEAL,CNY,85,85,85,,PREPAID
201029,PTS,CNY,330,467,467,,PREPAID
85484,DOC,CNY,,,,450.0,PREPAID
201029,AFR,USD,30,30,30,,PREPAID
85484,TLX,CNY,,,,350.0,PREPAID
201029,LSS,USD,15,30,30,,PREPAID
85484,LSS,USD,20,40,40,,PREPAID
85484,THC,CNY,620,930,930,,PREPAID
201028,THC,CNY,646,997,997,,PREPAID
85453,EIR,CNY,20,20,20,,PREPAID
201028,TLX,CNY,,,,450.0,PREPAID
201028,DOC,CNY,,,,500.0,PREPAID
85453,SEAL,CNY,85,85,85,,PREPAID
201028,SEAL,CNY,30,30,30,,PREPAID
85453,DOC,CNY,,,,450.0,PREPAID
201028,EIR,CNY,40,40,40,,PREPAID
85453,TLX,CNY,,,,350.0,PREPAID
201028,PTS,CNY,330,467,467,,PREPAID
85453,LSS,USD,20,40,40,,PREPAID
201028,AFR,USD,30,30,30,,PREPAID
85453,THC,CNY,620,930,930,,PREPAID
201028,LSS,USD,15,30,30,,PREPAID
201027,THC,CNY,646,997,997,,PREPAID
72420,EIR,CNY,20,20,20,,PREPAID
201027,TLX,CNY,,,,450.0,PREPAID
72420,SEAL,CNY,85,85,85,,PREPAID
72420,DOC,CNY,,,,450.0,PREPAID
72420,TLX,CNY,,,,350.0,PREPAID
201027,DOC,CNY,,,,500.0,PREPAID
72420,LSS,USD,20,40,40,,PREPAID
201027,SEAL,CNY,30,30,30,,PREPAID
72420,THC,CNY,620,930,930,,PREPAID
201027,EIR,CNY,40,40,40,,PREPAID
201027,PTS,CNY,330,467,467,,PREPAID
201027,AFR,USD,30,30,30,,PREPAID
201027,LSS,USD,15,30,30,,PREPAID
201026,THC,CNY,646,997,997,,PREPAID
72413,EIR,CNY,20,20,20,,PREPAID
201026,TLX,CNY,,,,450.0,PREPAID
72413,SEAL,CNY,85,85,85,,PREPAID
201026,DOC,CNY,,,,500.0,PREPAID
72413,DOC,CNY,,,,450.0,PREPAID
201026,SEAL,CNY,30,30,30,,PREPAID
72413,TLX,CNY,,,,350.0,PREPAID
72413,LSS,USD,20,40,40,,PREPAID
201026,EIR,CNY,40,40,40,,PREPAID
72413,THC,CNY,620,930,930,,PREPAID
201026,PTS,CNY,330,467,467,,PREPAID
201026,AFR,USD,30,30,30,,PREPAID
201026,LSS,USD,15,30,30,,PREPAID
72392,EIR,CNY,20,20,20,,PREPAID
72392,SEAL,CNY,85,85,85,,PREPAID
72392,DOC,CNY,,,,450.0,PREPAID
167408,THC,CNY,646,997,997,,PREPAID
72392,TLX,CNY,,,,350.0,PREPAID
167408,TLX,CNY,,,,450.0,PREPAID
72392,LSS,USD,20,40,40,,PREPAID
167408,DOC,CNY,,,,500.0,PREPAID
72392,THC,CNY,620,930,930,,PREPAID
167408,SEAL,CNY,30,30,30,,PREPAID
167408,EIR,CNY,40,40,40,,PREPAID
167408,AFR,USD,30,30,30,,PREPAID
72384,EIR,CNY,20,20,20,,PREPAID
167408,LSS,USD,15,30,30,,PREPAID
72384,SEAL,CNY,85,85,85,,PREPAID
72384,DOC,CNY,,,,450.0,PREPAID
