id,起运港,目的港,船公司,目的港挂靠,航线代码,LINE,航程,船期,中转港,港区,20底,40底,40HQ底,起始日期,结束日期,供应商,备注,备注1,备注2
199383,XIAMEN,"Oakland,CA",MSK,OICT,USSW,AE11,35,5/7,Busan,GUOJIHUOGUI,1351,1695,1695,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200283,XIAMEN,"Omaha,NE",COSCON,SSA,USIPI,MPNW,28,2/4,"Seattle,WA",YUANHAI,3200,3570,3570,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200021,XIAMEN,"Omaha,NE",APL,APL,USIPI,SC1,26,5/7,"Los Angeles,CA",YUANHAI,3780,4430,4430,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
216523,XIAMEN,"Philadelphia,PA",MSK,APMT,USRIPI,TP12,37,5/7,"Newark,NJ",HAIRUN,2825,3485,3485,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199375,XIAMEN,"Phoenix,AZ",MSK,LSA APM,USIPI,TP6,25,1/3,"Los Angeles,CA",SONGYU,2851,3195,3195,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200293,XIAMEN,"Pittsburgh,PA",COSCON,MAHER,USRIPI,AWE4,43,6/1,"New York,NY",YUANHAI,2660,3170,3170,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
199539,XIAMEN,"Pittsburgh,PA",YML,GCT,USRIPI,EC4,40,3/5,"New York,NY",HAIRUN,3210,3860,3860,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
201081,XIAMEN,"Pittsburgh,PA",MSK,APMT,USRIPI,TP12,36,5/7,"Newark,NJ",HAIRUN,3322,3905,3905,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200250,XIAMEN,"Portland,OR",COSCON,SSA,USNW,MPNW,21,2/4,"Seattle,WA",YUANHAI,1870,2040,2040,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201010,XIAMEN,"Portland,OR",APL,SSA,USNW,WAX,21,2/4,"Seattle,WA",YUANHAI,1882,2197,2197,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201713,XIAMEN,"Portland,OR",YML,T18,USNW,PN3,28,4/6,"Seattle,WA",GUOJIHUOGUI,N/A,N/A,2120,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
218998,XIAMEN,"Portland,OR",YML,WUT,USNW,PN4,20,3/5,"Tacoma,WA",HAIRUN,N/A,N/A,2120,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199376,XIAMEN,"Portland,OR",MSK,SSA,USNW,TP9,28,6/1,"Seattle,WA",SONGYU,1999,2445,2445,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
201144,XIAMEN,"Prince Rupert,BC",COSCON,FAIRVIEW,CAWC,CPNW,22,4/5,Hong Kong,YUANHAI,1400,1550,1550,2019-08-09,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
199384,XIAMEN,"Prince Rupert,BC",MSK,FAIRVIEW,CAWC,TP8,23,5/7,Busan,SONGYU,1351,1695,1695,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200017,XIAMEN,"Salt Lake City,UT",APL,APL,USIPI,SC1,24,5/7,"Los Angeles,CA",YUANHAI,3010,3530,3530,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201006,XIAMEN,"Salt Lake City,UT",APL,APL,USIPI,SC1,28,5/7,"Oakland,CA",YUANHAI,3020,3530,3530,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200269,XIAMEN,"Salt Lake City,UT",COSCON,SSA,USIPI,AAS2,25,4/7,"Oakland,CA",YUANHAI,3100,3620,3620,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200324,XIAMEN,"Salt Lake City,UT",COSCON,Ben E.nutter,USIPI,AAS3,32,2/4,"Oakland,CA",HAIRUN,3100,3620,3620,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201132,XIAMEN,"Salt Lake City,UT",COSCON,APL,USIPI,AAS2,23,5/7,"Los Angeles,CA",YUANHAI,3100,3620,3620,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201146,XIAMEN,"Salt Lake City,UT",COSCON,ECT,USIPI,AAS3,27,2/4,"Los Angeles,CA",HAIRUN,3100,3620,3620,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
199546,XIAMEN,"Salt Lake City,UT",YML,TRAPAC,USIPI,PS7,35,4/6,"Oakland,CA",HAIRUN,3450,4050,4050,2019-08-01,2019-08-14,顺圆,Subject to AMS & D/O Fee.,,
200018,XIAMEN,"San Antonio,TX",APL,APL,USIPI,SC1,26,5/7,"Los Angeles,CA",YUANHAI,3440,4030,4030,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201298,XIAMEN,"Savannah,GA",OOCL,Goergia,USEC,ECC1,32,3/5,,YUANHAI,1948,2435,2435,2019-08-15,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
